NEW_EVENT_TAG,Blood and Glory 1000,25 Nov 2016,3
Darran Palmer,Destruction
Russ Veal,Beastclaw Raiders
Matt Robertson,Beastclaw Raiders
Pete Foley,Flesh Eater Courts
Maxime Julian,Beastclaw Raiders
Andy Bryan,Chaos
Craig Chesters,Death
Rob Bradley,Chaos
James Chalmers,Nighthaunt
Player,Sylvaneth
Ben Johnson,Stormcast Eternals
Tony Moore,Order
Terry Pike,Chaos
Dan Shaw,Sylvaneth
Rupert Read,Destruction
Les Martin,Sylvaneth
Graham Shirley,Destruction
Johnathon Pano Kyprianidis,Chaos
Chris Taylor,Chaos
Mark Paddon,Fyreslayers
Ric Ellis,Order
Jason Hodgekinson,Destruction
Matt Watkinson,Destruction
Adam Ryland,Daemons of Nurgle
Nicholas Ruesink,Fyreslayers
Andy Wood,Chaos
Nigel Chorlton,Chaos
Jan Novak,Legion of Azgorh
