NEW_EVENT_TAG,Bristol Smash,2 Jun 2019,5
Joe McGough,Legion of Sacrement
Daniel Ford,Skaventide
Matthew Feltham,Hosts of Slaanesh
Joe Clark,Flesh Eater Courts
Marc Murphy,Stormcast Eternals
George Newbould,Gloomspite Gitz
Karl Breakspear,Nighthaunt
Matthew Croad,Stormcast Eternals
Greg Davis,Gloomspite Gitz
Jason Smith,Blades of Khorne
Kane Holloway,Blades of Khorne
Sam Sendell,Legion of Blood
Patrick Rance,Skaventide
Ben van Buul,Hosts of Slaanesh
Daniel Arnold,Legion of Blood
Heath Barnes,Blades of Khorne
Rob Darbyshire,Skaventide
Tom Holmes,Stormcast Eternals
William Morris,Gloomspite Gitz
Spencer Talbot,Kharadron Overlords
Alex Gilbank,Disciples of Tzeentch
Arron  Hazell,Stormcast Eternals
Stew Ca,Death
Chris Roberts,Blades of Khorne
Michael Browning,Flesh Eater Courts
Rory Searles,Stormcast Eternals
Dave Avery,Kharadron Overlords
Phillip Jenkins,Skaventide
Adam Poolman,Tempests Eye
Dave Fraser,Gloomspite Gitz
Duncan Stacy,Nighthaunt
Ben Furse,Legion of Sacrement
Mark Caseley,Grand Host of Nagash
Kieran Searles,Free Peoples
Dave Roberts,UNKNOWN_ARMY
Karl Wadley,UNKNOWN_ARMY
Shaun Lang,UNKNOWN_ARMY
Dave Palmer,UNKNOWN_ARMY
