NEW_EVENT_TAG,FaceHammer GT,21 Sep 2019,5
Luke Morton,Idoneth Deepkin
Bryan Carmichael,Hedonites of Slaanesh
Dan Bradshaw,Skaventide
Ben Curry,Daughters of Khaine
Laurie H,Sylvaneth
Mark Wildman,Blades of Khorne
JP Stevens,Hedonites of Slaanesh
James Tinsdale,Idoneth Deepkin
Tom Mawdsley,Legion of Grief
Ritchie McAlley,Gloomspite Gitz
William Philpott,Order
Ricky Mee,Fyreslayers
Eric Hoerger,Hedonites of Slaanesh
Daniel Ford,Skaventide
James Chalmers,Gloomspite Gitz
James Boots,Blades of Khorne
Adrian McWalter,Hedonites of Slaanesh
Craig Carlton,Fyreslayers
Michael Wilson,Hedonites of Slaanesh
Pete Scholey,Skaventide
Paul Haley,Daughters of Khaine
Paul Buckler,Seraphon
Alex Jones,Skaventide
Matthew Croad,Stormcast Eternals
Ben Johnson,Gloomspite Gitz
Adam Hall,Hedonites of Slaanesh
Steven Phillips,Beastclaw Raiders
Alan Witherden,Bonesplitterz
Lee Kay,Blades of Khorne
Alex Bruce,Order
Donal Taylor,Seraphon
Andy Hughes,Fyreslayers
Steve Curtis,Flesh Eater Courts
Dan Mitchell,Seraphon
Chris Tomlin,Order Draconis
Tom Lees,Gloomspite Gitz
Ian Spink,Bonesplitterz
Heath Barnes,Blades of Khorne
Andy Bryan,Skaventide
Tony Moore,Skaventide
Andy Talbot,Stormcast Eternals
Kieran Harper,Stormcast Eternals
Thomas Waller,Stormcast Eternals
Toby Meadows,Skaventide
Gabe Huddlestone,Legion of Blood
Damien Medhurst,Stormcast Eternals
Ian Ralph,Hedonites of Slaanesh
Bradley Walsh,Legion of Blood
Adam Sinclair,Ironjawz
Karl Breakspear,Fyreslayers
Chris Mills,Disciples of Tzeentch
Johnathon Pano Kyprianidis,Blades of Khorne
Mike Newman,Kharadron Overlords
Thomas Blaxall,Seraphon
Jack Mayland,Beasts of Chaos
Nigel Barham,Disciples of Tzeentch
Richard Elsdon,Stormcast Eternals
Tom Fretwell,Flesh Eater Courts
Aaron Bailey,Destruction
Christian Moore,Hedonites of Slaanesh
Michael Browning,Flesh Eater Courts
Sam Watson,Flesh Eater Courts
Kyle Edwards,Stormcast Eternals
Keith Ball,Flesh Eater Courts
William Morris,Gloomspite Gitz
James Eveleigh,Gloomspite Gitz
Mike Thomas,Nighthaunt
Ric Ellis,Stormcast Eternals
Tom Roberts,Blades of Khorne
Chris Snell,Idoneth Deepkin
Mark Pinnington,Sylvaneth
Matt Robertson,Blades of Khorne
George Evans,Maggotkin of Nurgle
Carl Smith,Hedonites of Slaanesh
Tom Fownes,Order
Adrian Downey,Legion of Grief
Graham Shirley,Gloomspite Gitz
Pete Bradley,Death
Tom Hewitt,Fyreslayers
Matthew Haggett,Maggotkin of Nurgle
Balal Zafar,Wanderers
