NEW_EVENT_TAG,Northern Invasion,16 Jul 2016,3
Jamie Ferguson,Order
Paul Whitehead,Destruction
Liam Watts,Order
Niall Campbell,Chaos
Leigh Martin,Chaos
Charles Mitchell,Death
Joe Ward,Destruction
Owen Lee,Destruction
Richard Strachan,Order
Daniel Oldfield,Order
Iain Hunter,Chaos
Tim Gronneberg,Destruction
Kevin Low,Order
Tam Whyte,Order
John Harper,Order
Steve McCormick,Destruction
Scott Smith,Destruction
Calum Todd,Chaos
Graeme Davidson,Order
Adam Martin,Chaos
Lyndon Sinclair,Order
