NEW_EVENT_TAG,Age of Sigmar @ ChariCon 2019,23-02-2019,5
Shaun Tubman,-,5/0/0
Aiden Nicol,-,4/0/1
Shaun Bates,-,4/0/1
Bo Paterson,-,4/0/1
Tre Winika,-,3/0/2
Mike Los,-,3/0/2
Jared Angus,-,4/0/1
Sloan Dougherty,-,3/0/2
Tom Hampson,-,3/0/2
Regan OHalloran,-,3/0/2
Andrew Hodgson,-,2/0/3
Brett Mudgway,-,2/1/2
Rohan Clark,-,2/0/3
Alexander Sinclair,-,2/0/3
Kyle Duncalf,-,2/0/3
The Player With Two Faces,-,2/0/3
Nicholas Jebson,-,1/0/4
Luke Burrough,-,1/0/4
Matt Watkinson,-,1/0/4
Steve Jackson,-,1/0/4
Michael Stewart,-,1/0/4
Rhys Mudgway,-,0/1/4
Shaun Tubman,Aiden Nicol,Shaun Tubman,Rohan Clark,Shaun Tubman,Kyle Duncalf,Shaun Tubman,Regan OHalloran,Shaun Tubman,Nicholas Jebson
Shaun Tubman,Aiden Nicol,Aiden Nicol,Tre Winika,Aiden Nicol,Rhys Mudgway,Aiden Nicol,Jared Angus,Aiden Nicol,Brett Mudgway
Shaun Bates,Rohan Clark,Shaun Bates,The Player With Two Faces,Shaun Bates,Alexander Sinclair,Tre Winika,Shaun Bates,Shaun Bates,Bo Paterson
Bo Paterson,Tre Winika,Bo Paterson,Kyle Duncalf,Bo Paterson,Andrew Hodgson,Bo Paterson,Rhys Mudgway,Shaun Bates,Bo Paterson
Bo Paterson,Tre Winika,Aiden Nicol,Tre Winika,Tre Winika,Sloan Dougherty,Tre Winika,Shaun Bates,Tre Winika,Alexander Sinclair
Jared Angus,Mike Los,Mike Los,Sloan Dougherty,Mike Los,Tom Hampson,Mike Los,Nicholas Jebson,Regan OHalloran,Mike Los
Jared Angus,Mike Los,Jared Angus,Andrew Hodgson,Jared Angus,Brett Mudgway,Aiden Nicol,Jared Angus,Jared Angus,Rhys Mudgway
Sloan Dougherty,Luke Burrough,Mike Los,Sloan Dougherty,Tre Winika,Sloan Dougherty,Sloan Dougherty,Matt Watkinson,Sloan Dougherty,Michael Stewart
Tom Hampson,The Player With Two Faces,Tom Hampson,Alexander Sinclair,Mike Los,Tom Hampson,Rohan Clark,Tom Hampson,Tom Hampson,Matt Watkinson
Regan OHalloran,Kyle Duncalf,Regan OHalloran,Luke Burrough,The Player With Two Faces,Regan OHalloran,Shaun Tubman,Regan OHalloran,Regan OHalloran,Mike Los
Andrew Hodgson,Steve Jackson,Jared Angus,Andrew Hodgson,Bo Paterson,Andrew Hodgson,Andrew Hodgson,Michael Stewart,The Player With Two Faces,Andrew Hodgson
Brett Mudgway,Rhys Mudgway,Brett Mudgway,Nicholas Jebson,Jared Angus,Brett Mudgway,Brett Mudgway,Steve Jackson,Aiden Nicol,Brett Mudgway
Shaun Bates,Rohan Clark,Rohan Clark,Matt Watkinson,Shaun Tubman,Rohan Clark,Rohan Clark,Tom Hampson,Rohan Clark,Steve Jackson
Alexander Sinclair,Nicholas Jebson,Tom Hampson,Alexander Sinclair,Shaun Bates,Alexander Sinclair,Alexander Sinclair,Luke Burrough,Tre Winika,Alexander Sinclair
Regan OHalloran,Kyle Duncalf,Bo Paterson,Kyle Duncalf,Shaun Tubman,Kyle Duncalf,Kyle Duncalf,The Player With Two Faces,Kyle Duncalf,Luke Burrough
Tom Hampson,The Player With Two Faces,Shaun Bates,The Player With Two Faces,The Player With Two Faces,Regan OHalloran,Kyle Duncalf,The Player With Two Faces,The Player With Two Faces,Andrew Hodgson
Alexander Sinclair,Nicholas Jebson,Brett Mudgway,Nicholas Jebson,Nicholas Jebson,Steve Jackson,Mike Los,Nicholas Jebson,Shaun Tubman,Nicholas Jebson
Sloan Dougherty,Luke Burrough,Regan OHalloran,Luke Burrough,Luke Burrough,Michael Stewart,Alexander Sinclair,Luke Burrough,Kyle Duncalf,Luke Burrough
Michael Stewart,Matt Watkinson,Rohan Clark,Matt Watkinson,Matt Watkinson,Rhys Mudgway,Sloan Dougherty,Matt Watkinson,Tom Hampson,Matt Watkinson
Andrew Hodgson,Steve Jackson,Steve Jackson,Michael Stewart,Nicholas Jebson,Steve Jackson,Brett Mudgway,Steve Jackson,Rohan Clark,Steve Jackson
Michael Stewart,Matt Watkinson,Steve Jackson,Michael Stewart,Luke Burrough,Michael Stewart,Andrew Hodgson,Michael Stewart,Sloan Dougherty,Michael Stewart
Brett Mudgway,Rhys Mudgway,Matt Watkinson,Rhys Mudgway,Aiden Nicol,Rhys Mudgway,Bo Paterson,Rhys Mudgway,Jared Angus,Rhys Mudgway
