NEW_EVENT_TAG,General's War 21,27-04-2019,3
Adam Uhl,Flesh Eater Courts,3/0/0
Piotr Kurkowski,Daughters Of Khaine,3/0/0
Łukasz Matyasik,Hosts of Slaanesh,2/0/1
Adam Gajak,Flesh Eater Courts,2/0/1
Dagmara Wajs,Daughters Of Khaine,2/0/1
Olgierd Sawicki,Legions of Nagash,2/0/1
Robert Lopez,Stormcast Eternals,1/1/1
Krzysiek Pe,Skaven,3/0/0
Arkadiusz Nikiel,Daughters Of Khaine,2/0/1
Radosław Wróblewski,Stormcast Eternals,1/1/1
Marcin Żółciński,Beasts of Chaos,2/0/1
Rafał Rubacha,Ironjawz,1/0/2
Michał Wiśniewski,Gloomspite Gitz,1/0/2
Mateusz Radomyski,Sylvaneth,1/0/2
Łukasz Krokos,Sylvaneth,1/0/2
Adrian Kaczyński,Skaven,1/0/2
Michal Pe,Stormcast Eternals,0/0/3
Mateusz Włudarczyk,Stormcast Eternals,0/0/3
Michał Korzeniowski,Idoneth Deepkin,0/0/3
Bartosz Orlof,Skaven,1/0/2
Adam Uhl,Adam Gajak,Adam Uhl,Łukasz Krokos,Adam Uhl,Olgierd Sawicki
Piotr Kurkowski,Radosław Wróblewski,Piotr Kurkowski,Adrian Kaczyński,Piotr Kurkowski,Rafał Rubacha
Łukasz Matyasik,Mateusz Radomyski,Łukasz Matyasik,Mateusz Włudarczyk,Dagmara Wajs,Łukasz Matyasik
Adam Uhl,Adam Gajak,Adam Gajak,Dagmara Wajs,Adam Gajak,Marcin Żółciński
Dagmara Wajs,Adrian Kaczyński,Adam Gajak,Dagmara Wajs,Dagmara Wajs,Łukasz Matyasik
Olgierd Sawicki,Michał Wiśniewski,Olgierd Sawicki,Rafał Rubacha,Adam Uhl,Olgierd Sawicki
Krzysiek Pe,Robert Lopez,Radosław Wróblewski,Robert Lopez,Robert Lopez,Arkadiusz Nikiel
Krzysiek Pe,Robert Lopez,Krzysiek Pe,Michał Wiśniewski,Krzysiek Pe,Michał Korzeniowski
Arkadiusz Nikiel,Michał Korzeniowski,Arkadiusz Nikiel,Michal Pe,Robert Lopez,Arkadiusz Nikiel
Piotr Kurkowski,Radosław Wróblewski,Radosław Wróblewski,Robert Lopez,Radosław Wróblewski,Bartosz Orlof
Marcin Żółciński,Łukasz Krokos,Marcin Żółciński,Bartosz Orlof,Adam Gajak,Marcin Żółciński
Rafał Rubacha,Michal Pe,Olgierd Sawicki,Rafał Rubacha,Piotr Kurkowski,Rafał Rubacha
Olgierd Sawicki,Michał Wiśniewski,Krzysiek Pe,Michał Wiśniewski,Michał Wiśniewski,Mateusz Radomyski
Łukasz Matyasik,Mateusz Radomyski,Mateusz Radomyski,Michał Korzeniowski,Michał Wiśniewski,Mateusz Radomyski
Marcin Żółciński,Łukasz Krokos,Adam Uhl,Łukasz Krokos,Łukasz Krokos,Michal Pe
Dagmara Wajs,Adrian Kaczyński,Piotr Kurkowski,Adrian Kaczyński,Adrian Kaczyński,Mateusz Włudarczyk
Rafał Rubacha,Michal Pe,Arkadiusz Nikiel,Michal Pe,Łukasz Krokos,Michal Pe
Bartosz Orlof,Mateusz Włudarczyk,Łukasz Matyasik,Mateusz Włudarczyk,Adrian Kaczyński,Mateusz Włudarczyk
Arkadiusz Nikiel,Michał Korzeniowski,Mateusz Radomyski,Michał Korzeniowski,Krzysiek Pe,Michał Korzeniowski
Bartosz Orlof,Mateusz Włudarczyk,Marcin Żółciński,Bartosz Orlof,Radosław Wróblewski,Bartosz Orlof
