NEW_EVENT_TAG,General's War 35,22-08-2020,3
Radosław Wróblewski,Stormcast Eternals,3/0/0
Olgierd Sawicki,Ossiarch Bonereapers,3/0/0
Rafał Pawlędzio,Big Waaagh!,3/0/0
Krzysiek Pe,Skaven,2/0/1
Piotr Kurkowski,Idoneth Deepkin,2/0/1
Michał Wiśniewski,Kharadron Overlords,2/0/1
Grzegorz Zagraba,Flesh Eater Courts,2/0/1
Jakub Luszewski,Ogor Mawtribes,2/0/1
Kuba Kazimierczak,Sylvaneth,1/0/2
Piotr Jasinski,Big Waaagh!,1/0/2
Tomasz Bokotko,Skaven,1/0/2
Olgierd Ruszkiewicz,Kharadron Overlords,1/0/2
Marcin Sobanda,Idoneth Deepkin,1/0/2
Jakub Czerwiński,Nighthaunt,1/0/2
Piotr Żebrowski,Grand Host of Nagash,0/0/3
Kuba Kwiatkowski,Ossiarch Bonereapers,0/0/3
Karol Mikusek,Idoneth Deepkin,0/0/1
Adrian Kaczyński,Ossiarch Bonereapers,0/0/1
Radosław Wróblewski,Krzysiek Pe,Radosław Wróblewski,Michał Wiśniewski,Radosław Wróblewski,Kuba Kwiatkowski
Olgierd Sawicki,Piotr Kurkowski,Olgierd Sawicki,Marcin Sobanda,Olgierd Sawicki,Karol Mikusek
Rafał Pawlędzio,Tomasz Bokotko,Rafał Pawlędzio,Kuba Kazimierczak,Rafał Pawlędzio,Adrian Kaczyński
Radosław Wróblewski,Krzysiek Pe,Krzysiek Pe,Tomasz Bokotko,Krzysiek Pe,Kuba Kazimierczak
Olgierd Sawicki,Piotr Kurkowski,Piotr Kurkowski,Olgierd Ruszkiewicz,Piotr Kurkowski,Jakub Czerwiński
Michał Wiśniewski,Olgierd Ruszkiewicz,Radosław Wróblewski,Michał Wiśniewski,Michał Wiśniewski,Jakub Luszewski
Grzegorz Zagraba,Piotr Jasinski,Grzegorz Zagraba,Jakub Czerwiński,Olgierd Ruszkiewicz,Grzegorz Zagraba
Jakub Luszewski,Marcin Sobanda,Jakub Luszewski,Kuba Kwiatkowski,Michał Wiśniewski,Jakub Luszewski
Kuba Kazimierczak,Piotr Żebrowski,Rafał Pawlędzio,Kuba Kazimierczak,Krzysiek Pe,Kuba Kazimierczak
Grzegorz Zagraba,Piotr Jasinski,Piotr Jasinski,Piotr Żebrowski,Marcin Sobanda,Piotr Jasinski
Rafał Pawlędzio,Tomasz Bokotko,Krzysiek Pe,Tomasz Bokotko,Tomasz Bokotko,Piotr Żebrowski
Michał Wiśniewski,Olgierd Ruszkiewicz,Piotr Kurkowski,Olgierd Ruszkiewicz,Olgierd Ruszkiewicz,Grzegorz Zagraba
Jakub Luszewski,Marcin Sobanda,Olgierd Sawicki,Marcin Sobanda,Marcin Sobanda,Piotr Jasinski
Jakub Czerwiński,Kuba Kwiatkowski,Grzegorz Zagraba,Jakub Czerwiński,Piotr Kurkowski,Jakub Czerwiński
Kuba Kazimierczak,Piotr Żebrowski,Piotr Jasinski,Piotr Żebrowski,Tomasz Bokotko,Piotr Żebrowski
Jakub Czerwiński,Kuba Kwiatkowski,Jakub Luszewski,Kuba Kwiatkowski,Radosław Wróblewski,Kuba Kwiatkowski
Olgierd Sawicki,Karol Mikusek
Rafał Pawlędzio,Adrian Kaczyński
