NEW_EVENT_TAG,TTS 13th June UK,13-06-2020,3
Artyom Kurepin,Seraphon,3/0/0
Matthew Gouldesbrough,Seraphon,3/0/0
John “Rocco Ya Boy” Rocco,Idoneth Deepkin,3/0/0
Philipp Kartaev,Disciples Of Tzeentch,3/0/0
Anttu,-,2/0/1
Denis Avidzba,Seraphon,2/0/1
Spare,Orruks,2/0/1
Daniel Laatsch,Cities of Sigmar,2/0/1
TogII_U_later,Mixed,2/0/1
Dmitry Yakunin ,Ossiarch Bonereapers,2/0/1
StevenMarsden,Seraphon,2/0/1
Bugi_bugi,Ossiarch Bonereapers,2/0/1
Obaid Bin-Nasir ,Seraphon,2/0/1
Cole Wright ,Skaven,2/0/1
Sergey Kovrov,Cities of Sigmar,1/0/1
Jiwan noah singh,Mixed,1/0/1
Jay Denny ,Ossiarch Bonereapers,1/0/2
Owen Jackson,Blades of Khorne,1/0/2
Chris Francis,Sylvaneth,1/0/2
James Chan Gweynor,Skaven,1/0/2
James Beeden,Seraphon,1/0/2
Pask,Ogor Mawtribes,1/0/2
Greg Shelton,Orruks,1/0/2
Fukushim,Idoneth Deepkin,1/0/2
Tyler “Buckets” Pearson,Hosts of Slaanesh,1/0/2
TaurielBlack,Cities of Sigmar,1/0/2
Marc Brookes,Skaven,0/0/3
Jukka-Pekka Heikkinen,Blades of Khorne,0/0/3
JKeightley,Flesh Eater Courts,0/0/3
mathmallow,Sylvaneth,0/0/3
Artyom Kurepin,Daniel Laatsch,Artyom Kurepin,Dmitry Yakunin,Artyom Kurepin,James Beeden
Matthew Gouldesbrough,TogII_U_later,Matthew Gouldesbrough,Tyler “Buckets” Pearson,Matthew Gouldesbrough,Owen Jackson
John “Rocco Ya Boy” Rocco,Obaid Bin-Nasir,John “Rocco Ya Boy” Rocco,StevenMarsden,John “Rocco Ya Boy” Rocco,Jay Denny
Philipp Kartaev,Jiwan noah singh,Philipp Kartaev,Anttu,Philipp Kartaev,Chris Francis
Anttu,Sergey Kovrov,Philipp Kartaev,Anttu,Anttu,Cole Wright
Denis Avidzba,Owen Jackson,Denis Avidzba,Jonathan  Burn "TB",Obaid Bin-Nasir,Denis Avidzba
Spare,Pask,Daniel Laatsch,Spare,Spare,JKeightley
Artyom Kurepin,Daniel Laatsch,Daniel Laatsch,Spare,Daniel Laatsch,Greg Shelton
Matthew Gouldesbrough,TogII_U_later,TogII_U_later,Bugi_bugi,TogII_U_later,James Chan Gweynor
Dmitry Yakunin,Jay Denny,Artyom Kurepin,Dmitry Yakunin,Dmitry Yakunin,Fukushim
StevenMarsden,Chris Francis,John “Rocco Ya Boy” Rocco,StevenMarsden,StevenMarsden,Pask
Bugi_bugi,Tyler “Buckets” Pearson,TogII_U_later,Bugi_bugi,Bugi_bugi,Jukka
John “Rocco Ya Boy” Rocco,Obaid Bin-Nasir,Obaid Bin-Nasir,Jukka-Pekka Heikkinen,Obaid Bin-Nasir,Denis Avidzba
Cole Wright,James Beeden,Cole Wright,Greg Shelton,Anttu,Cole Wright
Anttu,Sergey Kovrov,Jiwan noah singh,Sergey Kovrov,Sergey Kovrov,Jonathan  Burn
Philipp Kartaev,Jiwan noah singh,Jiwan noah singh,Sergey Kovrov,Jiwan noah singh,mathmallow
Dmitry Yakunin,Jay Denny,Jay Denny,James Chan Gweynor,John “Rocco Ya Boy” Rocco,Jay Denny
Denis Avidzba,Owen Jackson,Owen Jackson,mathmallow,Matthew Gouldesbrough,Owen Jackson
StevenMarsden,Chris Francis,Chris Francis,JKeightley,Philipp Kartaev,Chris Francis
James Chan Gweynor,Jukka-Pekka Heikkinen,Jay Denny,James Chan Gweynor,TogII_U_later,James Chan Gweynor
Cole Wright,James Beeden,James Beeden,Fukushim,Artyom Kurepin,James Beeden
Spare,Pask,Pask,Marc Brookes,StevenMarsden,Pask
Greg Shelton,JKeightley,Cole Wright,Greg Shelton,Daniel Laatsch,Greg Shelton
Fukushim,mathmallow,James Beeden,Fukushim,Dmitry Yakunin,Fukushim
Bugi_bugi,Tyler “Buckets” Pearson,Matthew Gouldesbrough,Tyler “Buckets” Pearson,Tyler “Buckets” Pearson,Marc Brookes
Jonathan  Burn "TB",Marc Brookes,Denis Avidzba,Jonathan  Burn "TB",Sergey Kovrov,Jonathan  Burn
Jonathan  Burn "TB",Marc Brookes,Pask,Marc Brookes,Tyler “Buckets” Pearson,Marc Brookes
James Chan Gweynor,Jukka-Pekka Heikkinen,Obaid Bin-Nasir,Jukka-Pekka Heikkinen,Bugi_bugi,Jukka
Greg Shelton,JKeightley,Chris Francis,JKeightley,Spare,JKeightley
Fukushim,mathmallow,Owen Jackson,mathmallow,Jiwan noah singh,mathmallow
