NEW_EVENT_TAG,Badgacon,8 Jun 2019,5
Tristan Smith,Daughters of Khaine
Sam Morgan,Order
David Cunning,Legion of Grief
Tyson Gleeson,Seraphon
Rhys McGlinn,Legion of Azgorh
Nick Hoen,Grand Host of Nagash
Joel McGrath,Hedonites of Slaanesh
Peter Atkinson,Destruction
Lachie Mulcahy,Daughters of Khaine
Corey Beilharz,Disciples of Tzeentch
Patrick Nevan,Blades of Khorne
Zenith Mills,Gloomspite Gitz
Jarrad Coots,Maggotkin of Nurgle
Dan Brown,Blades of Khorne
Ken Shimzu,Stormcast Eternals
Michael Thomson,Blades of Khorne
Stephen Binek,Beastclaw Raiders
Josh Clark,Grand Host of Nagash
Kyle Hoffman,Blades of Khorne
Wade McDonald,Stormcast Eternals
Ion Zisu,Beastclaw Raiders
Ben Murray,Flesh Eater Courts
Richard Scott,Order
Phillip Smith,Sylvaneth
Fletcher Oldaker,Beasts of Chaos
Jason Spinks,Gloomspite Gitz
Nathan Thompson,Fyreslayers
Brodie Pain,Stormcast Eternals
Aidan Holder,Kharadron Overlords
Kingsley Muir,Tomb Kings
Luke Ingram,Flesh Eater Courts
Cory Ford,Blades of Khorne
Jess Hutchins,Stormcast Eternals
Shaun Kerr,Destruction
