NEW_EVENT_TAG,Blood and Glory Championships,21 Nov 2015,6
Russ Veal,High Elves
Pete Foley,Stormcast Eternals
Rufio Symes,Lizardmen
Terry Pike,Daemons of Chaos
Tony Moore,Vampire Counts
Dan Heelan,Lizardmen
Nick Peart,Lizardmen
Pete Scholey,Ogre Kingdoms
Martin Morrin,Vampire Counts
Chris Legg,High Elves
Paul Whitehead,Ogre Kingdoms
Andy Bryan,Lizardmen
Nigel Chorlton,Empire
Dave Sweeting,Vampire Counts
Josh Meads,High Elves
Byron Orde,High Elves
Rupert Read,Daemons of Chaos
Chris Taylor,Daemons of Chaos
Mark Wildman,High Elves
Mark Paddon,Warriors of Chaos
Luke Whitehead,Warriors of Chaos
Adrian McWalter,Tomb Kings
Steve Wren,Warriors of Chaos
Wayne Kemp,Skaven
Nathan Prescott,Orcs 
Tom Linington,Warriors of Chaos
