NEW_EVENT_TAG,Tempest 2019,19-01-2019,5
Liam Watt,-,5/0/0
Leigh Martin,-,4/0/1
John B,-,4/0/1
Mike Callaghan,-,4/0/1
Nathan Watson,-,4/0/1
David Nemeth (Loke),-,4/0/1
Craig Graham,-,4/0/1
Dan Ryan,-,4/0/1
Jp Ganis,-,3/0/2
John Craig,-,3/0/2
Paul Whitehead,-,3/0/2
Kevin Low,-,3/0/2
Sam Pett,-,3/0/2
Paul Di Duca,-,3/0/2
Mark Roberts,-,3/0/2
Stephen Mccormick,-,3/0/2
Stu West,-,3/0/2
MATTR,-,3/0/2
John Harper,-,3/0/2
Duffy,-,3/0/2
Gary Pollock,-,2/0/3
Adam Rawson,-,2/0/3
Sean Mckechnie,-,2/0/3
Mark Storrar,-,2/0/3
Adam Martin,-,2/0/3
Luke Whitehead,-,2/0/3
Michael Hanns,-,2/0/3
Dan Marshall,-,2/0/3
Richard Strachan,-,2/0/3
Grant Fraser,-,2/0/3
Garry Marshall,-,2/0/3
Rich Morley,-,2/0/3
Lyndon Sinclair,-,2/0/3
Ross Joyce,-,1/0/4
Will Pollock,-,1/0/4
Kat Fekete,-,1/0/4
Shane Kingston,-,1/0/4
Graeme Davidson,-,1/0/4
Erik Bews,-,0/0/5
James Marshall,-,0/0/5
