NEW_EVENT_TAG,Ulster Warlords 2: International Team Event 2020,22-02-2020,5
[Peaky Unbinders]David Kane,Kharadron Overlords,5/0/0
[Despicable Minions]Soloman Morrow,Ossiarch Bonereapers,5/0/0
[Brucehammer 13]Chris Caves Jnr,Disciples Of Tzeentch,5/0/0
[Shia LaBeouf]Neil Montgomery,Idoneth Deepkin,4/0/1
[Conventional Means]Ciaran Smyth,Skaven,4/0/1
[Shia LaBeouf]Stephen Mitchell,Ossiarch Bonereapers,4/0/1
[Peaky Unbinders]Peter Pratt,Maggotkin of Nurgle,4/0/1
[Despicable Minions]Craig Morrow,Disciples Of Tzeentch,4/0/1
[Yellow Submarine]Tom Cothier,Fyreslayers,4/0/1
[Yellow Submarine]David Neagle,Ossiarch Bonereapers,4/0/1
[Knights of Ken]Kylo Ken Chambers,Flesh Eater Courts,4/0/1
[Shia LaBeouf]Dean McLaughlin,Cities of Sigmar,4/0/1
[Brucehammer 13]Ric Myhill,Ogor Mawtribes,3/0/2
[Essex Rolling Machines 1]Marc Carrigher,Fyreslayers,3/0/2
[Yellow Submarine]Colin Ruddell,Idoneth Deepkin,3/0/2
[Peaky Unbinders]Colin Cochrane,Daughters Of Khaine,3/0/2
[Knights of Ken]Ricardo Esteban,Daughters Of Khaine,3/1/1
[Mini Rollers]Will O'Siorain,Cities of Sigmar,3/1/1
[Mini Rollers]Chris Nellis,Fyreslayers,3/0/2
[Conventional Means]Kevin Grimes,Kharadron Overlords,3/0/2
[Shia LaBeouf]Jay Kinsella,Blades of Khorne,3/0/2
[Brucehammer 13]Chris Caves Snr,Daughters Of Khaine,3/0/2
[Hero Phase]Mick Wendal,Ogor Mawtribes,3/0/2
[Essex Rolling Machines 2]Rob Wales,Orruks,3/0/2
[Essex Rolling Machines 1]Jani Szanislo,Ironjawz,3/0/2
[Hero Phase]David McGowan,Flesh Eater Courts,3/0/2
[Last Chancers]Len Buchanan,Kharadron Overlords,3/0/2
[Dirty Mike & The Boys]Kieran McParland,Nighthaunt,3/0/2
[Essex Rolling Machines 1]Dan Harston,Flesh Eater Courts,2/0/3
[Knights of Ken]John Twomey,Fyreslayers,2/0/3
[Brucehammer 13]Andrew Scott,Ironjawz,2/0/3
[Hero Phase]Nathan Sandison,Legion of Sacrament,2/1/2
[Mini Rollers]Chris Elliot,Skaven,2/0/3
[Essex Rolling Machines 2]Stuart Hastings,Ogor Mawtribes,2/0/3
[Yellow Submarine]Rik Eddon,Ironjawz,2/0/3
[Mini Rollers]Chris Archibald,Idoneth Deepkin,2/0/3
[Wholly Without]Evan White,Skaven,2/0/3
[Essex Rolling Machines 2]Lawrence Craven,Flesh Eater Courts,2/0/3
[Essex Rolling Machines 2]Dan Asensio-Sanchez,Stormcast Eternals,2/0/3
[Wholly Without]Barry White,Ogor Mawtribes,2/0/3
[Essex Rolling Machines 1]Anthony Lewis,Ossiarch Bonereapers,2/0/3
[Despicable Minions]Hayden McMurray,Ironjawz,2/0/3
[Peaky Unbinders]Ben Cochrane,Fyreslayers,1/0/4
[Dirty Mike & The Boys]Brendan McKernan,Skaven,2/0/3
[Last Chancers]Ross Buchanan,Nighthaunt,1/0/4
[Conventional Means]David Smyth,Idoneth Deepkin,1/0/4
[Hero Phase]Andy Farrell,Orruks,1/0/4
[Conventional Means]Ryan Mollan,Fyreslayers,1/1/3
[Dirty Mike & The Boys]Tomas Lunney,Maggotkin of Nurgle,1/0/4
[Last Chancers]Eoin Lennon,Ossiarch Bonereapers,1/0/4
[Despicable Minions]John Dorrian,Skaven,1/0/4
[Wholly Without]Martin Laughlin,Skaven,1/0/4
[Knights of Ken]Laura MacNeill,Ossiarch Bonereapers,0/0/5
[Last Chancers]Dave Holohan,Grand Host of Nagash,0/0/5
[Wholly Without]Kevin Harrington,Ossiarch Bonereapers,0/0/5
[Dirty Mike & The Boys]Martin Wilson,Fyreslayers,0/0/5
