NEW_EVENT_TAG,Blood and Glory Championships,25 Nov 2016,6
Ben Johnson,Stormcast Eternals
Terry Pike,Chaos
Maxime Julian,Destruction
Carl Smith,Fyreslayers
Craig Namvar,Sylvaneth
Darran Palmer,Destruction
Adrian McWalter,Death
Robert Sedgeman,Bonesplitterz
Rob Perrin,Death
Byron Orde,Death
William Barton,Stormcast Eternals
Johnathon Pano Kyprianidis,Chaos
Jack Armstrong,Stormcast Eternals
Paul Whitehead,Destruction
Ian Spink,Bonesplitterz
Andy Bryan,Chaos
Paul Haley,Destruction
Ian Ralph,Order
Pete Foley,Flesh Eater Courts
Kieran Harper,Ironjawz
Gary Percival ,Chaos
Richard Ellis,Order
Simon Eccles,Death
Nicholas Ruesink,Destruction
Craig Chesters,Death
Tony Moore,Death
Matt Robertson,Beastclaw Raiders
Chris Green,Order
Alex Clark,Destruction
Player,Sylvaneth
Bryan Hatchett,Order
Russ Veal,Beastclaw Raiders
Adrian Downey,Death
Adam Ryland,Chaos
Michael Browning,Flesh Eater Courts
Les Martin,Sylvaneth
Nick Peart,Beastclaw Raiders
Luke Whitehead,Stormcast Eternals
James Allen,Death
Mark Gosling,Sylvaneth
Marc Brookes,Chaos
Andy Wood,Stormcast Eternals
Andy Mackay,Order
Adam Hall,Flesh Eater Courts
Stuart Oliver,Destruction
Chris Taylor,Chaos
Rob Bradley,Chaos
Tom Linington,Chaos
Jacob Stojanovic,Sylvaneth
Liam Cook,Sylvaneth
Keith Ball,Flesh Eater Courts
Chris Collett,Death
Simon Partridge,Chaos
Joe Purcell,Clan Skryre
Player,Chaos
Pete Scholey,Chaos
Mike Porter,Chaos
Matt Watkinson,Destruction
Lee Bromley,Flesh Eater Courts
James Chalmers,Ironjawz
Steve Wren,Order
Matt Harper,Order
Will Rogers,Chaos
Josh Meads,Chaos
William Crankshaw,Chaos
Adam Hazelwood,Order
Mike Thomas,Destruction
Graham Shirley,Destruction
Steve Sanderson,Chaos
Mike Ralph,Order
Nigel Chorlton,Chaos
Craig Moore,Stormcast Eternals
Jason Hodgekinson,Order
Paul Brewster,Chaos
Player,Daemons of Nurgle
