NEW_EVENT_TAG,The Titans Winter 1 Day,11-01-2020,3
Eric Hoerger,Orruks,3/0/0
Paul Berridge,Flesh Eater Courts,3/0/0
Eddie Harrison,Cities of Sigmar,2/0/1
Rory Carter,Orruks,2/0/1
Izzy Moore,Sylvaneth,2/0/1
Russell Perkins ,Skaven,2/0/1
Sam Rayner,Ogor Mawtribes,2/0/1
Ian Porter,Ossiarch Bonereapers,2/0/1
David Wymer,Ossiarch Bonereapers,1/0/2
Will Clewer,Gloomspite Gitz,1/0/2
Ben_Goodwin,Orruks,1/0/2
Leigh Edwards,Kharadron Overlords,1/0/2
Ashley Doughty,Legion of Sacrament,1/0/2
Sophie Williams,Blades of Khorne,1/0/2
Jamie Wymer,Ogor Mawtribes,0/0/3
Harry Jeckell,Stormcast Eternals,0/0/3
Eric Hoerger,Rory Carter,Eric Hoerger,Ashley Doughty,Eric Hoerger,Russell Perkins
Paul Berridge,Sam Rayner,Paul Berridge,Eddie Harrison,Paul Berridge,Ian Porter
Eddie Harrison,Leigh Edwards,Paul Berridge,Eddie Harrison,Eddie Harrison,Jamie Wymer
Eric Hoerger,Rory Carter,Rory Carter,David Wymer,Rory Carter,Leigh Edwards
Izzy Moore,Ben_Goodwin,Sam Rayner,Izzy Moore,Izzy Moore,Will Clewer
Russell Perkins,Ashley Doughty,Russell Perkins,Sophie Williams,Eric Hoerger,Russell Perkins
Paul Berridge,Sam Rayner,Sam Rayner,Izzy Moore,Sam Rayner,Ben_Goodwin
Ian Porter,David Wymer,Ian Porter,Jamie Wymer,Paul Berridge,Ian Porter
Ian Porter,David Wymer,Rory Carter,David Wymer,David Wymer,Harry Jeckell
Will Clewer,Jamie Wymer,Ben_Goodwin,Will Clewer,Izzy Moore,Will Clewer
Izzy Moore,Ben_Goodwin,Ben_Goodwin,Will Clewer,Sam Rayner,Ben_Goodwin
Eddie Harrison,Leigh Edwards,Leigh Edwards,Harry Jeckell,Rory Carter,Leigh Edwards
Russell Perkins,Ashley Doughty,Eric Hoerger,Ashley Doughty,Ashley Doughty,Sophie Williams
Sophie Williams,Harry Jeckell,Russell Perkins,Sophie Williams,Ashley Doughty,Sophie Williams
Will Clewer,Jamie Wymer,Ian Porter,Jamie Wymer,Eddie Harrison,Jamie Wymer
Sophie Williams,Harry Jeckell,Leigh Edwards,Harry Jeckell,David Wymer,Harry Jeckell
